variable,archivo_origen,hoja_origen,columna_origen,header_origen_exacto,filas_datos,notas_lectura
public_sector_adoption,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col H (indice 7 tras eliminar gaps),Public Sector Adoption,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
development_diffusion,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col I (indice 8 tras eliminar gaps),Development & Diffusion,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. Header incluye &."
resilience,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col J (indice 9 tras eliminar gaps),Resilience,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
policy_vision,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col L (indice 11 tras eliminar gaps),Policy vision,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. Gap en col K."
policy_commitment,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col M (indice 12 tras eliminar gaps),Policy commitment,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
compute_capacity,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col N (indice 13 tras eliminar gaps),Compute capacity,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
enabling_technical_infrastructure,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col O (indice 14 tras eliminar gaps),Enabling technical infrastructure,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
data_quality,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col P (indice 15 tras eliminar gaps),Data quality,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
governance_principles,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col Q (indice 16 tras eliminar gaps),Governance principles,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
regulatory_compliance,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col R (indice 17 tras eliminar gaps),Regulatory compliance,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
government_digital_policy,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col S (indice 18 tras eliminar gaps),Government digital policy,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
e_government_delivery,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col T (indice 19 tras eliminar gaps),e-Government delivery,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
human_capital_2025,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col U (indice 20 tras eliminar gaps),Human capital,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. NO confundir con human_capital 2020-2024."
ai_sector_maturity,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col V (indice 21 tras eliminar gaps),AI sector maturity,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
ai_technology_diffusion,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col W (indice 22 tras eliminar gaps),AI technology diffusion,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
societal_transition,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col X (indice 23 tras eliminar gaps),Societal transition,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
safety_security,2025-Government-AI-Readiness-Index-data-1.xlsx,Dimensions-Pillars,Col Y (indice 24 tras eliminar gaps),Safety and security,Filas 3-197 (195 paises),"Fila 1=labels, Fila 2=header REAL. "
ind_ai_strategy,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col B (indice 1),AI strategy,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: desk research
ind_data_protection_laws,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col C (indice 2),Data protection and privacy laws,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UN data protection and privacy legislation worldwide.
ind_cybersecurity,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col D (indice 3),Cybersecurity,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Global Cybersecurity Index
ind_regulatory_quality,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col E (indice 4),Regulatory quality,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: WGI Indicators
ind_ethical_principles,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col F (indice 5),Ethical principles,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: desk research
ind_accountability,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col G (indice 6),Accountability,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: WGI Indicators
ind_online_services,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col H (indice 7),Online services,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UN E-gov Online Services Index
ind_foundational_it,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col I (indice 8),Foundational IT infrastructure,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Govtech Maturity Index
ind_govt_promotion_emerging_tech,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col J (indice 9),Government Promotion of Investment in Emerging Technologies,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Network Readiness Index
ind_govt_effectiveness,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col K (indice 10),Government Effectiveness,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: WGI Indicators
ind_govt_responsiveness,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col L (indice 11),Government responsiveness to change,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Global Competitiveness Index
ind_procurement_data,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col M (indice 12),Procurement Data,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Procurement page for the index
ind_ai_unicorns_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col N (indice 13),Number of AI Unicorns log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: CB Insights
ind_non_ai_unicorns_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col O (indice 14),Number of non-AI Unicorns log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: CB Insights
ind_ict_trade_services_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col P (indice 15),Value of trade in ICT services (per capita) log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UNCTAD
ind_ict_trade_goods_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col Q (indice 16),Value of trade in ICT goods (per capita) log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UNCTAD
ind_software_spending,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col R (indice 17),Computer software spending,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Global Innovation Index
ind_time_govt_regulations,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col S (indice 18),Time spent dealing with government regulations,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: World Bank
ind_vc_availability,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col T (indice 19),VC availability,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Global Innovation Index
ind_rd_spending_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col U (indice 20),R&D Spending log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UNESCO
ind_company_investment_emerging_tech,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col V (indice 21),Company investment in emerging technology,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Network Readiness Index
ind_ai_research_papers_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col W (indice 22),AI research papers log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Scimago
ind_stem_graduates,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col X (indice 23),Graduates in STEM or computer science,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UNESCO
ind_github_activity_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col Y (indice 24),Github Activity log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Github 2021 Octoverse report
ind_female_stem_graduates,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col Z (indice 25),Female STEM Graduates,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: World Bank
ind_eng_tech_higher_ed_quality,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AA (indice 26),Quality of Engineering and Technology Higher Ed,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: QS University Rankings
ind_ict_skills,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AB (indice 27),ICT skills,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: ITU
ind_telecom_infrastructure,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AC (indice 28),Telecommunications Infrastructure,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: UN E-gov Telecom Infra Index
ind_supercomputers_log,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AD (indice 29),Supercomputers log transformation,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Top 500 supercomputers
ind_broadband_quality,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AE (indice 30),Broadband Quality,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: EIU Inclusive Internet Index
ind_5g_infrastructure,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AF (indice 31),5G Infrastructure,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Ookla 5G Map
ind_adoption_emerging_tech,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AG (indice 32),Adoption of Emerging Technologies,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Network Readiness Index
ind_open_data,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AH (indice 33),Open Data,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Global Data Barometer
ind_data_governance,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AI (indice 34),Data governance,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: Govtech Maturity Index
ind_mobile_subscriptions,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AJ (indice 35),Mobile-cellular telephone subscriptions,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: ITU
ind_households_internet,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AK (indice 36),Households with internet access,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: ITU
ind_statistical_capacity,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AL (indice 37),Statistical Capacity,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: SPI Github repo
ind_cost_internet_device,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AM (indice 38),Cost of cheapest internet-enabled device,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: GSMA Mobile Connectivity Index
ind_gender_gap_internet,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Indicator scores,Col AN (indice 39),Gender gap in internet access,Filas 5-197 (193 paises),Fila 3=Indicator names. Fila 4=Source. Fuente original: EIU Inclusive Internet Index
