variable_matriz,source_id,table_id,original_variable,tipo_matriz,unit,direction,bloque_tematico,regla_temporal_default,is_primary,redundant_with,pct_complete,notes
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,stanford,stanford_ai_index_2026_unificado,fig_6.3.5/fig_6.3.5_Volume of Publications,numeric,count,unknown,ecosystem_outcome,latest_available_per_figure,True,,16.88,generated from real source columns; no synthetic values
wb_control_of_corruption,wb,MATRIZ_COMPLETA,control_of_corruption_2018; control_of_corruption_2019; control_of_corruption_2020; control_of_corruption_2021; control_of_corruption_2022; control_of_corruption_2023; control_of_corruption_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_control_of_corruption_se,wb,MATRIZ_COMPLETA,control_of_corruption_se_2018; control_of_corruption_se_2019; control_of_corruption_se_2020; control_of_corruption_se_2021; control_of_corruption_se_2022; control_of_corruption_se_2023; control_of_corruption_se_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_education_expenditure_pct_gdp,wb,MATRIZ_COMPLETA,education_expenditure_pct_gdp_2018; education_expenditure_pct_gdp_2019; education_expenditure_pct_gdp_2021; education_expenditure_pct_gdp_2020; education_expenditure_pct_gdp_2022; education_expenditure_pct_gdp_2023; education_expenditure_pct_gdp_2025; education_expenditure_pct_gdp_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,77.49,generated from real source columns; no synthetic values
wb_electric_consumption_kwh_pc,wb,MATRIZ_COMPLETA,electric_consumption_kwh_pc_2018; electric_consumption_kwh_pc_2019; electric_consumption_kwh_pc_2020; electric_consumption_kwh_pc_2021; electric_consumption_kwh_pc_2022; electric_consumption_kwh_pc_2023; electric_consumption_kwh_pc_2024,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,63.64,generated from real source columns; no synthetic values
wb_exports_pct_gdp,wb,MATRIZ_COMPLETA,exports_pct_gdp_2018; exports_pct_gdp_2019; exports_pct_gdp_2020; exports_pct_gdp_2021; exports_pct_gdp_2022; exports_pct_gdp_2023; exports_pct_gdp_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,74.89,generated from real source columns; no synthetic values
wb_fdi_net_inflows,wb,MATRIZ_COMPLETA,fdi_net_inflows_2018; fdi_net_inflows_2019; fdi_net_inflows_2020; fdi_net_inflows_2021; fdi_net_inflows_2022; fdi_net_inflows_2023; fdi_net_inflows_2024,numeric,count,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,82.68,generated from real source columns; no synthetic values
wb_fdi_pct_gdp,wb,MATRIZ_COMPLETA,fdi_pct_gdp_2018; fdi_pct_gdp_2019; fdi_pct_gdp_2020; fdi_pct_gdp_2021; fdi_pct_gdp_2022; fdi_pct_gdp_2023; fdi_pct_gdp_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,81.82,generated from real source columns; no synthetic values
wb_fixed_broadband_per100,wb,MATRIZ_COMPLETA,fixed_broadband_per100_2019; fixed_broadband_per100_2020; fixed_broadband_per100_2021; fixed_broadband_per100_2022; fixed_broadband_per100_2018; fixed_broadband_per100_2023; fixed_broadband_per100_2024,numeric,pct,higher_better,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,84.42,generated from real source columns; no synthetic values
wb_gdp_current_usd,wb,MATRIZ_COMPLETA,gdp_current_usd_2018; gdp_current_usd_2019; gdp_current_usd_2020; gdp_current_usd_2021; gdp_current_usd_2022; gdp_current_usd_2023; gdp_current_usd_2024,numeric,usd,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,85.28,generated from real source columns; no synthetic values
wb_gdp_growth_annual_pct,wb,MATRIZ_COMPLETA,gdp_growth_annual_pct_2018; gdp_growth_annual_pct_2019; gdp_growth_annual_pct_2020; gdp_growth_annual_pct_2021; gdp_growth_annual_pct_2022; gdp_growth_annual_pct_2023; gdp_growth_annual_pct_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_gdp_per_capita_ppp,wb,MATRIZ_COMPLETA,gdp_per_capita_ppp_2018; gdp_per_capita_ppp_2019; gdp_per_capita_ppp_2020; gdp_per_capita_ppp_2021; gdp_per_capita_ppp_2022; gdp_per_capita_ppp_2023; gdp_per_capita_ppp_2024,numeric,usd,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,81.82,generated from real source columns; no synthetic values
wb_government_effectiveness,wb,MATRIZ_COMPLETA,government_effectiveness_2018; government_effectiveness_2019; government_effectiveness_2020; government_effectiveness_2021; government_effectiveness_2022; government_effectiveness_2023; government_effectiveness_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_government_effectiveness_se,wb,MATRIZ_COMPLETA,government_effectiveness_se_2018; government_effectiveness_se_2019; government_effectiveness_se_2020; government_effectiveness_se_2021; government_effectiveness_se_2022; government_effectiveness_se_2023; government_effectiveness_se_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_gross_capital_formation_pct_gdp,wb,MATRIZ_COMPLETA,gross_capital_formation_pct_gdp_2018; gross_capital_formation_pct_gdp_2019; gross_capital_formation_pct_gdp_2020; gross_capital_formation_pct_gdp_2021; gross_capital_formation_pct_gdp_2022; gross_capital_formation_pct_gdp_2023; gross_capital_formation_pct_gdp_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,72.73,generated from real source columns; no synthetic values
wb_high_tech_exports_pct_manufactured,wb,MATRIZ_COMPLETA,high_tech_exports_pct_manufactured_2018; high_tech_exports_pct_manufactured_2019; high_tech_exports_pct_manufactured_2020; high_tech_exports_pct_manufactured_2021; high_tech_exports_pct_manufactured_2022; high_tech_exports_pct_manufactured_2023; high_tech_exports_pct_manufactured_2024,numeric,pct,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,73.59,generated from real source columns; no synthetic values
wb_ict_goods_exports_pct,wb,MATRIZ_COMPLETA,ict_goods_exports_pct_2018; ict_goods_exports_pct_2019; ict_goods_exports_pct_2020; ict_goods_exports_pct_2021; ict_goods_exports_pct_2022,numeric,pct,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,69.7,generated from real source columns; no synthetic values
wb_ict_service_exports_pct,wb,MATRIZ_COMPLETA,ict_service_exports_pct_2018; ict_service_exports_pct_2019; ict_service_exports_pct_2020; ict_service_exports_pct_2021; ict_service_exports_pct_2022; ict_service_exports_pct_2023; ict_service_exports_pct_2024,numeric,pct,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,74.89,generated from real source columns; no synthetic values
wb_inflation_consumer_prices,wb,MATRIZ_COMPLETA,inflation_consumer_prices_2018; inflation_consumer_prices_2019; inflation_consumer_prices_2020; inflation_consumer_prices_2021; inflation_consumer_prices_2022; inflation_consumer_prices_2023; inflation_consumer_prices_2024,numeric,count,lower_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,78.35,generated from real source columns; no synthetic values
wb_internet_penetration,wb,MATRIZ_COMPLETA,internet_penetration_2018; internet_penetration_2019; internet_penetration_2020; internet_penetration_2021; internet_penetration_2022; internet_penetration_2023; internet_penetration_2024; internet_penetration_2025,numeric,count,higher_better,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,82.68,generated from real source columns; no synthetic values
wb_labor_force,wb,MATRIZ_COMPLETA,labor_force_2018; labor_force_2019; labor_force_2020; labor_force_2021; labor_force_2022; labor_force_2023; labor_force_2024; labor_force_2025,numeric,count,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,78.79,generated from real source columns; no synthetic values
wb_mobile_subscriptions_per100,wb,MATRIZ_COMPLETA,mobile_subscriptions_per100_2019; mobile_subscriptions_per100_2020; mobile_subscriptions_per100_2021; mobile_subscriptions_per100_2022; mobile_subscriptions_per100_2018; mobile_subscriptions_per100_2023; mobile_subscriptions_per100_2024,numeric,pct,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,85.28,generated from real source columns; no synthetic values
wb_patent_applications_residents,wb,MATRIZ_COMPLETA,patent_applications_residents_2018; patent_applications_residents_2019; patent_applications_residents_2021; patent_applications_residents_2020,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,58.44,generated from real source columns; no synthetic values
wb_political_stability,wb,MATRIZ_COMPLETA,political_stability_2018; political_stability_2019; political_stability_2020; political_stability_2021; political_stability_2022; political_stability_2023; political_stability_2024,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_political_stability_se,wb,MATRIZ_COMPLETA,political_stability_se_2018; political_stability_se_2019; political_stability_se_2020; political_stability_se_2021; political_stability_se_2022; political_stability_se_2023; political_stability_se_2024,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_population,wb,MATRIZ_COMPLETA,population_2018; population_2019; population_2020; population_2021; population_2022; population_2023; population_2024,numeric,count,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,86.58,generated from real source columns; no synthetic values
wb_rd_expenditure_pct_gdp,wb,MATRIZ_COMPLETA,rd_expenditure_pct_gdp_2021; rd_expenditure_pct_gdp_2022; rd_expenditure_pct_gdp_2018; rd_expenditure_pct_gdp_2019; rd_expenditure_pct_gdp_2020; rd_expenditure_pct_gdp_2023; rd_expenditure_pct_gdp_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,50.65,generated from real source columns; no synthetic values
wb_regulatory_quality,wb,MATRIZ_COMPLETA,regulatory_quality_2018; regulatory_quality_2019; regulatory_quality_2020; regulatory_quality_2021; regulatory_quality_2022; regulatory_quality_2023; regulatory_quality_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_regulatory_quality_se,wb,MATRIZ_COMPLETA,regulatory_quality_se_2018; regulatory_quality_se_2019; regulatory_quality_se_2020; regulatory_quality_se_2021; regulatory_quality_se_2022; regulatory_quality_se_2023; regulatory_quality_se_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_researchers_rd_per_million,wb,MATRIZ_COMPLETA,researchers_rd_per_million_2021; researchers_rd_per_million_2022; researchers_rd_per_million_2018; researchers_rd_per_million_2019; researchers_rd_per_million_2020; researchers_rd_per_million_2023; researchers_rd_per_million_2024,numeric,count,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,46.75,generated from real source columns; no synthetic values
wb_rule_of_law,wb,MATRIZ_COMPLETA,rule_of_law_2018; rule_of_law_2019; rule_of_law_2020; rule_of_law_2021; rule_of_law_2022; rule_of_law_2023; rule_of_law_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_rule_of_law_se,wb,MATRIZ_COMPLETA,rule_of_law_se_2018; rule_of_law_se_2019; rule_of_law_se_2020; rule_of_law_se_2021; rule_of_law_se_2022; rule_of_law_se_2023; rule_of_law_se_2024,numeric,count,higher_better,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_secure_servers_per_1m,wb,MATRIZ_COMPLETA,secure_servers_per_1m_2018; secure_servers_per_1m_2019; secure_servers_per_1m_2020; secure_servers_per_1m_2021; secure_servers_per_1m_2022; secure_servers_per_1m_2023; secure_servers_per_1m_2024,numeric,count,unknown,socioeconomic_control,latest_available_per_country_per_indicator,True,,85.71,generated from real source columns; no synthetic values
wb_tertiary_education_enrollment,wb,MATRIZ_COMPLETA,tertiary_education_enrollment_2024; tertiary_education_enrollment_2018; tertiary_education_enrollment_2020; tertiary_education_enrollment_2023; tertiary_education_enrollment_2019; tertiary_education_enrollment_2021; tertiary_education_enrollment_2022; tertiary_education_enrollment_2025,numeric,count,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,67.97,generated from real source columns; no synthetic values
wb_trade_pct_gdp,wb,MATRIZ_COMPLETA,trade_pct_gdp_2018; trade_pct_gdp_2019; trade_pct_gdp_2020; trade_pct_gdp_2021; trade_pct_gdp_2022; trade_pct_gdp_2023; trade_pct_gdp_2024,numeric,pct,higher_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,74.89,generated from real source columns; no synthetic values
wb_unemployment_rate,wb,MATRIZ_COMPLETA,unemployment_rate_2018; unemployment_rate_2019; unemployment_rate_2020; unemployment_rate_2021; unemployment_rate_2022; unemployment_rate_2023; unemployment_rate_2024; unemployment_rate_2025,numeric,count,lower_better,socioeconomic_control,latest_available_per_country_per_indicator,True,,78.79,generated from real source columns; no synthetic values
wb_voice_accountability,wb,MATRIZ_COMPLETA,voice_accountability_2018; voice_accountability_2019; voice_accountability_2020; voice_accountability_2021; voice_accountability_2022; voice_accountability_2023; voice_accountability_2024,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wb_voice_accountability_se,wb,MATRIZ_COMPLETA,voice_accountability_se_2018; voice_accountability_se_2019; voice_accountability_se_2020; voice_accountability_se_2021; voice_accountability_se_2022; voice_accountability_se_2023; voice_accountability_se_2024,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,84.85,generated from real source columns; no synthetic values
wipo_appcrea_score,wipo,MATRIZ_GII,AppCrea_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,45.02,generated from real source columns; no synthetic values
wipo_apptarriff_score,wipo,MATRIZ_GII,AppTarriff_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_brandval_score,wipo,MATRIZ_GII,BrandVal_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,48.92,generated from real source columns; no synthetic values
wipo_c_eccomplexity_score,wipo,MATRIZ_GII,c_EcComplexity_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,52.38,generated from real source columns; no synthetic values
wipo_c_hhi_score,wipo,MATRIZ_GII,c_HHI_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,48.48,generated from real source columns; no synthetic values
wipo_c_hitechmanufind2_score,wipo,MATRIZ_GII,c_HiTechManufIND2_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,47.62,generated from real source columns; no synthetic values
wipo_c_htexphkg_score,wipo,MATRIZ_GII,c_HTExpHKG_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_c_scitechart_score,wipo,MATRIZ_GII,c_SciTechArt_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_c_vencapdeal_score,wipo,MATRIZ_GII,c_VenCapDeal_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,40.69,generated from real source columns; no synthetic values
wipo_cctld_score,wipo,MATRIZ_GII,CCTLD_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_citdoc_score,wipo,MATRIZ_GII,CitDoc_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_compsoftspend_score,wipo,MATRIZ_GII,CompSoftSpend_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,54.11,generated from real source columns; no synthetic values
wipo_costredu_score,wipo,MATRIZ_GII,CostRedu_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.28,generated from real source columns; no synthetic values
wipo_creagoodexp_score,wipo,MATRIZ_GII,CreaGoodExp_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_cultservexp_score,wipo,MATRIZ_GII,CultServExp_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,48.92,generated from real source columns; no synthetic values
wipo_domcred2priv_score,wipo,MATRIZ_GII,DomCred2Priv_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.28,generated from real source columns; no synthetic values
wipo_dommarksc_score,wipo,MATRIZ_GII,DomMarkSc_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_easecred_score,wipo,MATRIZ_GII,EaseCred_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_easeinsol_score,wipo,MATRIZ_GII,EaseInsol_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_easeprotinv_score,wipo,MATRIZ_GII,EaseProtInv_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_easestartbus_score,wipo,MATRIZ_GII,EaseStartBus_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_elecout_score,wipo,MATRIZ_GII,ElecOut_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,53.68,generated from real source columns; no synthetic values
wipo_entmedia_score,wipo,MATRIZ_GII,EntMedia_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,27.27,generated from real source columns; no synthetic values
wipo_envperf_score,wipo,MATRIZ_GII,EnvPerf_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.28,generated from real source columns; no synthetic values
wipo_epart_score,wipo,MATRIZ_GII,Epart_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_expedu_score,wipo,MATRIZ_GII,ExpEdu_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,49.35,generated from real source columns; no synthetic values
wipo_fdinetinfl_score,wipo,MATRIZ_GII,FDINetInfl_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_femempdeg_score,wipo,MATRIZ_GII,FemEmpDeg_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,53.68,generated from real source columns; no synthetic values
wipo_firmtrain_score,wipo,MATRIZ_GII,FirmTrain_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,42.42,generated from real source columns; no synthetic values
wipo_gdpener_score,wipo,MATRIZ_GII,GDPEner_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,53.68,generated from real source columns; no synthetic values
wipo_gentld_score,wipo,MATRIZ_GII,GenTLD_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_gerdfinabr_score,wipo,MATRIZ_GII,GERDFinAbr_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,44.16,generated from real source columns; no synthetic values
wipo_gerdfinbus_score,wipo,MATRIZ_GII,GERDFinBus_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,44.59,generated from real source columns; no synthetic values
wipo_gerdperf_score,wipo,MATRIZ_GII,GERDPerf_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,38.53,generated from real source columns; no synthetic values
wipo_gii_score,wipo,MATRIZ_GII,GII_SCORE_2021; GII_SCORE_2022; GII_SCORE_2023; GII_SCORE_2024; GII_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_goveff_score,wipo,MATRIZ_GII,GovEff_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_govfundpup_score,wipo,MATRIZ_GII,GovFundPup_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,44.16,generated from real source columns; no synthetic values
wipo_govolserv_score,wipo,MATRIZ_GII,GovOLServ_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_grocap_score,wipo,MATRIZ_GII,GroCap_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,54.55,generated from real source columns; no synthetic values
wipo_hitechimp_score,wipo,MATRIZ_GII,HiTechImp_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_ictacc_score,wipo,MATRIZ_GII,ICTAcc_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_ictorgmod_score,wipo,MATRIZ_GII,ICTOrgMod_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,54.11,generated from real source columns; no synthetic values
wipo_ictservexp_score,wipo,MATRIZ_GII,ICTServExp_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_ictsevimp_score,wipo,MATRIZ_GII,ICTSevImp_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.71,generated from real source columns; no synthetic values
wipo_ictuse_score,wipo,MATRIZ_GII,ICTUse_SCORE_2021,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.14,generated from real source columns; no synthetic values
wipo_in_1_1_1_score,wipo,MATRIZ_GII,IN_1_1_1_SCORE_2022; IN_1_1_1_SCORE_2023; IN_1_1_1_SCORE_2024; IN_1_1_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_1_1_2_score,wipo,MATRIZ_GII,IN_1_1_2_SCORE_2022; IN_1_1_2_SCORE_2023; IN_1_1_2_SCORE_2024; IN_1_1_2_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_1_1_score,wipo,MATRIZ_GII,IN_1_1_SCORE_2022; IN_1_1_SCORE_2023; IN_1_1_SCORE_2024; IN_1_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_1_2_1_score,wipo,MATRIZ_GII,IN_1_2_1_SCORE_2022; IN_1_2_1_SCORE_2023; IN_1_2_1_SCORE_2024; IN_1_2_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_1_2_2_score,wipo,MATRIZ_GII,IN_1_2_2_SCORE_2022; IN_1_2_2_SCORE_2023; IN_1_2_2_SCORE_2024; IN_1_2_2_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_1_2_3_score,wipo,MATRIZ_GII,IN_1_2_3_SCORE_2022; IN_1_2_3_SCORE_2023,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,57.58,generated from real source columns; no synthetic values
wipo_in_1_2_score,wipo,MATRIZ_GII,IN_1_2_SCORE_2022; IN_1_2_SCORE_2023; IN_1_2_SCORE_2024; IN_1_2_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_1_3_1_score,wipo,MATRIZ_GII,IN_1_3_1_SCORE_2022; IN_1_3_1_SCORE_2023; IN_1_3_1_SCORE_2024; IN_1_3_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,58.87,generated from real source columns; no synthetic values
wipo_in_1_3_2_score,wipo,MATRIZ_GII,IN_1_3_2_SCORE_2022; IN_1_3_2_SCORE_2023; IN_1_3_2_SCORE_2024; IN_1_3_2_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,40.26,generated from real source columns; no synthetic values
wipo_in_1_3_score,wipo,MATRIZ_GII,IN_1_3_SCORE_2022; IN_1_3_SCORE_2023; IN_1_3_SCORE_2024; IN_1_3_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,59.74,generated from real source columns; no synthetic values
wipo_in_1_score,wipo,MATRIZ_GII,IN.1_SCORE_2021; IN_1_SCORE_2022; IN_1_SCORE_2023; IN_1_SCORE_2024; IN_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_2_1_1_score,wipo,MATRIZ_GII,IN_2_1_1_SCORE_2022; IN_2_1_1_SCORE_2023; IN_2_1_1_SCORE_2024; IN_2_1_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,59.31,generated from real source columns; no synthetic values
wipo_in_2_1_2_score,wipo,MATRIZ_GII,IN_2_1_2_SCORE_2022; IN_2_1_2_SCORE_2023; IN_2_1_2_SCORE_2024; IN_2_1_2_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,50.22,generated from real source columns; no synthetic values
wipo_in_2_1_3_score,wipo,MATRIZ_GII,IN_2_1_3_SCORE_2022; IN_2_1_3_SCORE_2023; IN_2_1_3_SCORE_2024; IN_2_1_3_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,56.28,generated from real source columns; no synthetic values
wipo_in_2_1_4_score,wipo,MATRIZ_GII,IN_2_1_4_SCORE_2022; IN_2_1_4_SCORE_2023; IN_2_1_4_SCORE_2024; IN_2_1_4_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,37.23,generated from real source columns; no synthetic values
wipo_in_2_1_5_score,wipo,MATRIZ_GII,IN_2_1_5_SCORE_2022; IN_2_1_5_SCORE_2023; IN_2_1_5_SCORE_2024; IN_2_1_5_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,59.31,generated from real source columns; no synthetic values
wipo_in_2_1_score,wipo,MATRIZ_GII,IN_2_1_SCORE_2022; IN_2_1_SCORE_2023; IN_2_1_SCORE_2024; IN_2_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,61.04,generated from real source columns; no synthetic values
wipo_in_2_2_1_score,wipo,MATRIZ_GII,IN_2_2_1_SCORE_2022; IN_2_2_1_SCORE_2023; IN_2_2_1_SCORE_2024; IN_2_2_1_SCORE_2025,numeric,score_0_100,higher_better,tech_infrastructure_control,year_2025_if_available,True,,58.44,generated from real source columns; no synthetic values
