STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,DECIMALS,Decimals
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,REGULATIONS,Regulations impact evaluation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ADBURDEN,Administrative requirements for limited liability companies (LLCs) and personally owned enterprises (POEs),A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,COMMANDSIMPLIF_BURDEN,Communication and simplification of administrative and regulatory burden,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,BARRIER_DOM,Barriers in service & network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,SERVBARRIER,Barriers to entry in service sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,BARRIER_SECT,Barriers to entry in network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,BARRIER_TRADE,Barriers to trade and investment,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,TFI,Barriers to trade facilitation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,TARIFFS,Tariff barriers,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,NETWORK_SECTORS,Network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ENERGY,Energy,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ELECTRICITY,Electricity,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,GAS,Natural gas,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,TRANSPORT,Transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,AIR,Air transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,RAIL,Rail transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ROAD,Road transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,WATER,Water transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ECOMM,E-communications,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ECOMM_FIX,Fixed e-communications,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ECOMM_MOB,Mobile e-communications,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,LAWYERS,Lawyers,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,NOTARIES,Notaries,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ACCOUNTANTS,Accountants,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ARCHITECTS,Architects,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ENGINEERS,Civil engineers,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,ESTATEAGENTS,Real estate agents,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,RETAIL_TRADE,Retail distribution,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,MEDICINES,Retail sales of medicines,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,DIGITAL_MARKET,Digital markets,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,TWN,Chinese Taipei,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,PMR,Product market regulation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,STATE_INVOL,Distortions induced by state involvement,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,DISTORT_PUBLIC,Distortions induced by public ownership,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,PUBLIC_OWNER,Quality and scope of public ownership,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,GOVERNANCE,Governance of state-owned enterprises (SOEs),A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,INVOL_BUSINESS,Involvement in business operations,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,PRICE,Retail price controls and regulation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,INV_BUS_NET,Involvement in business operations in network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,REGULATIONS,Regulations impact evaluation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ADBURDEN,Administrative requirements for limited liability companies (LLCs) and personally owned enterprises (POEs),A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,COMMANDSIMPLIF_BURDEN,Communication and simplification of administrative and regulatory burden,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,BARRIER_DOM,Barriers in service & network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,SERVBARRIER,Barriers to entry in service sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,BARRIER_SECT,Barriers to entry in network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,BARRIER_TRADE,Barriers to trade and investment,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,TFI,Barriers to trade facilitation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,TARIFFS,Tariff barriers,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,NETWORK_SECTORS,Network sectors,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ENERGY,Energy,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ELECTRICITY,Electricity,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,GAS,Natural gas,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,TRANSPORT,Transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,AIR,Air transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,RAIL,Rail transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ROAD,Road transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,WATER,Water transport,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ECOMM,E-communications,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ECOMM_FIX,Fixed e-communications,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ECOMM_MOB,Mobile e-communications,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,LAWYERS,Lawyers,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,NOTARIES,Notaries,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ACCOUNTANTS,Accountants,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ARCHITECTS,Architects,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ENGINEERS,Civil engineers,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,ESTATEAGENTS,Real estate agents,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,RETAIL_TRADE,Retail distribution,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,MEDICINES,Retail sales of medicines,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,DIGITAL_MARKET,Digital markets,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,THA,Thailand,NOTARIES,Notaries,A,Annual,2023,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,AUS,Australia,ENGINEERS,Civil engineers,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,AUS,Australia,ENGINEERS,Civil engineers,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CAN,Canada,TARIFFS,Tariff barriers,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHL,Chile,TARIFFS,Tariff barriers,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHL,Chile,ACCOUNTANTS,Accountants,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHL,Chile,ESTATEAGENTS,Real estate agents,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHL,Chile,TARIFFS,Tariff barriers,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHL,Chile,ACCOUNTANTS,Accountants,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CHL,Chile,ESTATEAGENTS,Real estate agents,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,COL,Colombia,ESTATEAGENTS,Real estate agents,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,COL,Colombia,ESTATEAGENTS,Real estate agents,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CRI,Costa Rica,ESTATEAGENTS,Real estate agents,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,CRI,Costa Rica,ESTATEAGENTS,Real estate agents,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,AIR,Air transport,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,ACCOUNTANTS,Accountants,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,ARCHITECTS,Architects,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,ENGINEERS,Civil engineers,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,AIR,Air transport,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,ACCOUNTANTS,Accountants,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,ARCHITECTS,Architects,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,DNK,Denmark,ENGINEERS,Civil engineers,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,ACCOUNTANTS,Accountants,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,ESTATEAGENTS,Real estate agents,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,RETAIL_TRADE,Retail distribution,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,ACCOUNTANTS,Accountants,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,ESTATEAGENTS,Real estate agents,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,EST,Estonia,RETAIL_TRADE,Retail distribution,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FIN,Finland,ACCOUNTANTS,Accountants,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FIN,Finland,ARCHITECTS,Architects,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FIN,Finland,ENGINEERS,Civil engineers,A,Annual,2018,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.2),Product market regulation,I,FIN,Finland,ACCOUNTANTS,Accountants,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
