iso3,iapp_regulatory_intensity,iapp_thematic_coverage,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,wipo_gii_score,wipo_gii_rank,wipo_ppp_per_capita,wipo_business_sophistication,wipo_infrastructure,wipo_institutional_environment,wipo_institutions,wipo_knowledge_creation,wipo_knowledge_impact,wipo_knowledge_diffusion,wipo_innovation_outputs,wipo_innovation_inputs,wipo_innovation_linkages,wipo_knowledge_absorption,wipo_knowledge_workers,wipo_creative_outputs,wipo_creative_goods_and_services,wipo_online_creativity,wipo_ecological_sustainability,wipo_general_infrastructure,wipo_education,wipo_credit,wipo_regulatory_environment,wipo_intangible_assets,wipo_market_sophistication,wipo_human_capital_and_research,wipo_business_environment,wipo_knowledge_and_technology_outputs,wipo_population_thousands,wipo_tertiary_education,wb_government_effectiveness_2023,wb_regulatory_quality_2023,wb_rule_of_law_2023,wb_control_of_corruption_2023,wb_political_stability_2023,iapp_has_ai_law,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal,iapp_approach_ordinal,iapp_enforcement_ordinal,gdpr_eu_status,gdpr_eu_adequacy,gdpr_eu_eea_member,gdpr_eu_eu_member,legal_English,legal_French,legal_German,legal_Scandinavian,legal_Socialist,region_simplified,region_africa,region_asia,region_europe,region_latam,region_mena,region_north_america,region_other,region_south_asia
JOR,2,3,56.07,63,69.5,48.26,69.64,79.99,35.47,57.39,6.59,80.0,77.23,66.67,29.6936103734472,65.0,10916.51,24.913618243895,32.4110879847531,51.8674167149872,52.3601181400126,22.4884129153331,23.0430218188915,13.2632858316089,20.4560900312929,34.448771150978,34.4532956533208,14.9676317087782,25.3199273695861,21.3139398739746,10.2691321860558,26.9549996646956,17.600025281124,8.03323798937302,33.7128425060027,30.0547772928284,48.0093819203172,24.0158138225736,36.4362191189091,26.1228122673199,57.2035557847336,19.5982401886111,11552.88,35.9473558355796,0.386213511228561,0.217705458402634,0.257768124341965,0.0886586904525757,-0.20273420214653,0,1,0,0,0,1,2,1,none,0,0,0,0,1,0,0,0,mena,0,0,0,0,1,0,0,0
JPN,7,12,72.24,14,70.0,70.62,80.46,72.71,66.13,80.75,50.49,100.0,73.57,100.0,53.5565691353389,12.0,53059.36,62.5156580186155,56.2917732624343,86.4764859056036,71.1659572022143,58.3263117091887,36.4803462023394,54.3199067872501,47.3890033482739,60.8580052232288,61.7010027867341,59.0855686397888,66.7604026293235,45.0691517969551,35.5452515307157,35.4296400096837,25.3054485139096,50.0314690330205,60.425712730134,63.1878523260994,84.0760593847678,54.6508578237106,61.463548658392,52.8530889744879,42.9453263162714,49.7088548995927,123753.04,29.505510213018,1.63126504421234,1.46932590007782,1.53553938865662,1.3956606388092,0.951136231422424,1,1,1,1,0,2,3,2,adequacy,1,0,0,0,0,1,0,0,asia,0,1,0,0,0,0,0,0
KAZ,2,3,56.7,58,88.0,53.88,64.63,73.59,39.85,37.38,7.91,70.0,85.98,33.33,26.341209901218,81.0,41366.31,25.9876201617853,40.8560140391197,52.5310569592374,44.2453928632581,16.4381674476643,18.9358321107298,12.3037048957195,17.6780830396043,33.6678187655192,13.4829591548888,22.0311060395923,42.4487952908748,19.4635979278374,13.9744005692907,24.3630514726532,6.75313890588122,28.135576580099,51.0761704273817,21.2931846076375,35.8860592655721,19.7584698347028,25.2401178772123,32.0099488862204,44.3190623649648,15.8925681513712,20592.57,34.6851807130144,0.146814674139023,0.0659545287489891,-0.446781367063522,-0.26659306883812,-0.27334600687027,0,1,1,1,0,1,2,1,none,0,0,0,0,0,0,0,1,other,0,0,0,0,0,0,1,0
KOR,8,12,76.89,5,96.0,68.21,90.73,79.23,65.88,82.71,40.81,90.0,91.5,100.0,59.9976353178735,4.0,62960.47,63.6851715501906,60.4678509357773,80.2817087802358,70.9872709677794,65.116196564893,45.0718921576054,52.2575407904176,57.9477759136713,63.9128818083116,58.3779884798275,50.427708833167,82.2498173375774,61.7470086563706,37.7634037092226,46.2178932958843,25.7129696465399,60.6548343933107,71.1546987221603,65.8762520473492,74.5060176180442,81.5033688101877,55.8100201573186,68.6140954304918,58.1740865050582,54.148543170972,51717.59,49.2370236012362,1.40480732917786,1.122523188591,1.24850225448608,0.894088566303253,0.609834730625153,1,1,1,1,0,2,3,3,adequacy,1,0,0,0,0,1,0,0,asia,0,1,0,0,0,0,0,0
LTU,10,14,65.31,29,80.5,55.11,91.67,84.3,45.56,57.02,8.98,70.0,88.6,46.67,40.7890541798699,33.0,53623.64,36.381953508697,50.4347231202738,75.6425464175819,71.9175780075124,21.0722687684323,46.9555439248198,30.1518032292758,31.1176465808161,48.9969590618543,29.3848943497209,27.3944782383905,52.3664879379796,29.5087545207896,21.4731850560997,47.3289775338888,38.4440560972363,31.5181875243361,59.0800582677159,44.0111175208217,75.098408151415,24.6164277465849,47.0833840300005,39.1671566427876,65.0117794535403,32.7265386408426,2859.11,39.6907541178736,1.05012118816376,1.33804214000702,1.26719617843628,0.781545519828796,0.742111504077911,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
LUX,10,14,64.28,33,81.0,57.65,81.52,75.46,46.26,66.54,12.18,90.0,85.39,66.67,47.2652289615258,23.0,151145.79,58.2553081252497,45.6764827830644,88.1407185509425,83.9005422730218,39.270129552561,32.3391270860439,19.9912075568303,42.0648261958634,56.1163052832428,56.6877191762395,48.8390856678297,69.23911953168,53.5961643265818,55.0573533045619,62.9619168590796,22.6783497956074,29.2967634742628,57.1615467143713,42.189621133657,92.2905524583771,48.1826935713428,45.8008785140552,46.9483147208229,71.270355809746,30.5334880651451,673.04,51.9548368848757,1.91421329975128,1.92906320095062,1.75243473052979,1.92665910720825,1.05400168895721,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
LVA,10,14,59.14,51,72.5,53.07,82.35,81.44,37.18,47.58,9.77,50.0,95.23,33.33,37.5271138784222,41.0,43526.93,35.8796109533488,51.2663734472621,69.6932885920249,57.9331264543815,20.3057876080641,20.5277677053492,31.915118952037,28.5471489505958,44.1597853750412,22.8290530097723,30.0473053668084,54.7624744834656,32.8447398127081,51.9148532850446,44.9710771430526,32.458841648916,35.9675814812252,63.2596655374334,32.5036767352029,71.434526551614,17.2465144113676,36.5687852614748,39.1510307587389,32.6715642195057,24.2495580884834,1871.87,41.9473430792309,0.696560978889465,1.17222261428833,1.03986096382141,0.698113977909088,0.591089129447937,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
MEX,3,6,48.33,77,35.0,52.1,67.64,66.11,34.07,32.22,12.47,50.0,77.34,24.33,30.5127163343233,58.0,24971.32,28.5936744810896,39.2578581482006,42.9898688042018,30.9160601777457,10.4273990314883,30.7506561281418,28.23324968422,27.4556194920552,33.4387047347322,21.9545362196582,36.7671255782434,27.0593616453672,31.7741373694937,32.2475466388579,23.5472028581589,15.4635669548511,25.0744248552647,44.4128270485567,18.7218677526485,28.4612241391536,35.650899990479,36.2323928028237,32.1935380638012,21.2970875898817,23.1371016146167,130861.01,27.015747735623,-0.198361441493034,-0.171988308429718,-0.806393921375275,-1.02057874202728,-0.630761027336121,0,1,1,1,0,1,2,1,none,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
MYS,3,6,62.34,38,80.5,60.52,78.48,64.78,55.36,38.33,19.78,70.0,63.95,33.33,40.5814895487474,34.0,41021.96,36.970123291383,45.7622633705954,75.6288581999662,69.0929933731988,13.2759654010584,36.8307513780926,42.667211480905,31.3072693486597,49.6562356287319,33.8047195921323,40.9557721029365,36.1498781790801,31.6898959439674,32.31452831924,24.6666493310418,15.9163425119178,39.0267081155604,44.116408701222,67.5443466597642,59.3512593047218,34.8892030627938,54.9935511753985,41.4622469330839,72.2988626149083,30.924642753352,35557.67,49.2865655762806,0.875369668006897,0.660894274711609,0.571915447711945,0.295621365308762,0.16851469874382,0,1,1,1,1,1,2,1,none,0,0,0,1,0,0,0,0,asia,0,1,0,0,0,0,0,0
NGA,3,7,50.79,70,80.5,39.1,78.13,47.46,39.45,42.66,9.27,70.0,54.93,66.67,21.0815209410651,105.0,6542.59,19.5459460252531,19.7177424489489,19.4740154570847,21.1054323125021,7.28663031499569,19.7918016336134,1.34723659229709,13.6321024749822,20.5799446477496,12.2146198308359,17.8729705388329,28.5502477060904,17.7889821029956,0.581614521829026,21.7866860278535,5.93487451686057,16.4788947479549,75.5980609336879,3.80476829596836,14.5522942354233,24.39381393115,15.2218768321779,27.3087256198658,29.2899872449984,9.47522284696872,232679.48,5.1661838133853,-0.847906708717346,-0.936865150928497,-0.887689292430878,-1.04097437858582,-1.7684383392334,0,1,1,1,1,0,2,1,none,0,0,0,1,0,0,0,0,africa,1,0,0,0,0,0,0,0
NLD,10,14,77.18,4,92.0,69.85,94.19,94.01,62.5,66.61,39.17,80.0,98.03,66.67,57.035492429262,8.0,81494.63,62.4707376593728,53.7140358246287,81.6171812925887,81.3646154673126,63.3689293567024,49.4041692462431,53.8126878804037,55.7262102538514,61.9398626604729,62.0128918501496,57.7163037181894,67.6830174097796,55.923825013253,40.0754666521675,90.3617362599052,23.1575632811887,46.4578092800854,62.2102149500281,59.4376966236545,89.0902814013447,46.6290485704696,56.0510936515603,56.0988306994903,73.3863837080044,55.5285954944497,18228.74,42.2819698615817,1.62553191184998,1.79096639156342,1.64250445365906,1.86710047721863,0.658281981945038,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
NOR,4,8,74.84,10,88.0,65.67,94.02,84.17,60.57,77.5,18.92,70.0,97.79,66.67,49.2378087475471,20.0,103446.04,51.1828415764032,64.6252120498369,93.0203837844327,83.2700914776109,45.9643197720275,38.608579134601,19.5744089125682,39.076266323116,59.044000110661,54.4055416212933,37.185612470706,61.9573706372103,43.4367633731665,30.8394126793775,70.9409725704661,45.0283349036155,66.5781580785238,64.2514072076784,51.6240830565256,88.0163758243569,35.9833341214112,45.2005549325692,50.9413005168847,68.7735148240432,34.7157692730656,5576.66,39.0057989319237,1.79993534088135,1.59752345085144,1.83398151397705,2.11352157592773,0.892857432365417,0,1,1,1,0,2,2,2,eea_member,0,1,0,0,0,0,1,0,europe,0,0,1,0,0,0,0,0
NZL,4,9,62.7,37,92.0,57.24,71.88,64.32,49.33,64.3,12.18,80.0,48.63,59.67,45.4891781536966,26.0,52983.05,52.8860235327345,56.3807160862327,85.1636379792262,82.866879936296,34.9429072271016,22.4768057850773,28.0899042168281,34.3876514507321,57.3386215009537,52.0544358122921,46.0227517276311,60.5808830582803,40.2720971584619,20.9392383714973,56.8942607624749,30.7298848743733,46.1579541823111,63.0986129440794,54.2854034310489,92.1650868664274,41.6274447499377,44.7790894582797,49.7803984912258,71.2719149632346,28.5032057430023,5213.94,42.2119645304792,1.5299768447876,1.91022837162018,1.70570802688599,2.08409547805786,1.35856962203979,0,1,1,1,1,2,2,2,adequacy,1,0,0,1,0,0,0,0,other,0,0,0,0,0,0,1,0
PER,6,9,56.52,60,72.5,45.52,72.5,90.4,31.57,55.57,8.12,50.0,95.94,66.67,26.4660453517052,80.0,17775.18,24.2270162299287,43.135217229447,45.4637364509529,40.1650305591537,11.2876594398496,19.5442574100127,8.07877539770976,17.3880624778043,36.0099735581245,12.4217343923989,28.1984220174622,32.060892279925,21.8058942064179,5.0854067831304,23.139307502275,30.9204194578429,23.5626753240883,43.4280195472587,42.3742878456661,37.6688057278498,29.4994312701331,37.0206997257592,35.5019040463339,37.3625494986585,12.9702307491907,34217.85,56.0372025155617,-0.491872787475586,0.292205184698105,-0.538132667541504,-0.721040904521942,-0.52178555727005,1,1,1,1,0,1,3,2,none,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
PHL,2,4,60.51,43,84.5,49.5,83.34,69.17,43.96,58.17,10.39,80.0,95.14,66.67,33.5939127875318,50.0,12079.57,36.6941813378251,34.2893778528414,51.8372811729892,47.2324967196865,13.3912988397401,29.3943030719077,43.1978517867192,27.4527092733202,34.8112491125432,29.082432706625,47.7436739559004,33.2564373509498,26.2442673138514,16.3550065108025,24.8717779058697,17.346820143186,28.793092694959,33.0385747846052,7.99696623413322,36.2280610078864,31.8751424193667,29.6883287497729,26.1518609025902,53.632147978184,28.661151232789,115843.67,38.188665964113,0.154091909527779,0.16425496339798,-0.41814711689949,-0.537639975547791,-0.566050469875336,0,1,1,1,0,0,2,1,none,0,0,0,0,1,0,0,0,asia,0,1,0,0,0,0,0,0
POL,10,14,69.14,24,96.0,64.79,85.0,74.84,47.18,75.73,33.27,90.0,95.09,95.67,37.7080354431444,39.0,51628.83,38.0149708146227,45.7703306218224,58.7132965692685,44.9246645477198,23.9654766241817,30.1447645614247,29.9083994822356,33.0309335542818,40.9779049578425,23.136075543187,39.7648335513827,51.1440033492985,38.0556535526162,27.8897786087318,42.9214381699783,17.3674817057492,36.9303212910977,60.2607572746064,20.7427840042045,58.4313393900831,40.7056987158775,33.5512057873163,42.6283530177312,17.6293576838079,28.0062135559473,38539.2,33.1146744968735,0.421437799930573,0.780193567276001,0.458741247653961,0.565399944782257,0.559584558010101,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
PRT,10,14,66.09,28,57.5,55.38,93.55,81.87,52.86,69.68,11.67,50.0,94.69,66.67,43.8576909479602,31.0,49236.5,38.8521955178309,48.0736547366661,74.4041798614048,62.8266733654705,30.5080682271288,36.3298634288523,26.4103097541731,38.4929657127772,48.8184725525912,28.6859197400272,32.9762309385764,54.894435874889,45.9031842888364,28.5004258104736,52.7850574708177,30.6734638481907,32.0209983573413,64.2370063019554,49.7569120653345,68.8254812933139,51.1636269370271,43.6549487535382,50.6848903894501,45.2503589416928,31.0827471367181,10425.29,45.5143893613532,0.987550020217896,0.755356550216675,1.06766510009766,0.696312069892883,0.712578117847443,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
ROU,10,14,56.73,57,84.0,55.23,71.72,55.66,38.06,59.05,12.56,60.0,82.87,59.67,34.2643558022539,49.0,47203.73,31.1205076918701,51.4497465550374,51.9919900641346,42.2133490069694,13.1891129728454,35.7926055147247,40.8426889246033,29.2027155273,37.5947382221853,20.621962206854,37.1656200928051,35.5739407759513,28.4639619172088,20.2883610839412,32.3607414715677,45.6054843119937,32.9721485088783,47.2136193409733,26.7702510962069,53.4189139171237,30.6033725566631,32.4038731794919,30.7862146775579,21.2291430396499,29.9414691373912,19015.09,38.4865703639345,-0.0926659479737282,0.318900614976883,0.437425792217255,0.0404953435063362,0.373643964529037,1,1,1,1,0,1,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
RUS,7,8,59.57,49,65.5,57.23,74.14,69.78,49.64,47.13,21.43,70.0,73.42,50.0,30.2640735373132,60.0,47298.71,29.7524745356761,36.8985435779303,19.5768827627278,19.0972118777811,29.5962622069731,26.1044583397921,15.3325419551291,26.8662884288222,32.5927303274053,22.8145665515012,33.8506624329863,32.592194622541,30.0548226903463,10.2778035420515,32.0334955308956,7.90535533446826,25.4271827201265,58.6815636405877,17.3547286527768,10.6984321381616,38.953995844219,36.1080354239423,41.1073862216966,27.0163207324538,23.6777541672981,144820.42,43.1596521943139,-0.712461888790131,-1.12207186222076,-1.18764269351959,-1.10467827320099,-1.13433384895325,1,1,1,1,0,1,3,3,none,0,0,0,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
SAU,4,7,71.57,15,92.0,62.93,93.21,88.62,54.48,57.39,25.94,80.0,91.25,66.67,36.0448190047954,46.0,63117.95,23.696995006064,46.0882340308508,63.2719237205899,64.8702523992604,22.0542541938782,22.0940683387346,17.6107526193374,22.5128106833564,45.3556459499998,37.4176102505222,15.9657667817452,17.7076079859246,24.4392629827295,7.90716282703358,22.8616920522456,6.25618986080418,46.9706878669161,57.3832091318126,49.4380710868029,52.5008321947417,33.4940985258193,48.6781850627972,43.4445632510264,78.8380012824497,20.5863583839834,33962.76,39.7872326667718,0.796441078186035,0.517070889472961,0.414570838212967,0.536042988300323,-0.213224530220032,0,1,1,1,0,2,2,2,none,0,0,0,0,1,0,0,0,mena,0,0,0,0,1,0,0,0
SVN,10,14,62.71,36,84.0,57.98,72.5,76.44,45.52,60.99,12.96,60.0,96.6,50.0,40.1045760929647,35.0,55683.97,41.6381176388817,53.220742573886,74.9519891488068,58.862671503221,39.1995494170526,25.2919094560185,38.7000884564603,33.047913931432,47.2875951256491,30.1541068786722,34.8818196494274,59.8784263885454,31.6986454196868,31.8252404835045,46.689697855992,39.2775180846656,34.3692438741672,62.6676549514562,31.7409807897257,65.9102207395636,24.1398216696254,33.3722925935183,49.3441513187386,35.7258046212927,34.3971824431771,2118.7,47.9366782759693,1.03929400444031,0.731421768665314,1.03880786895752,0.776647090911865,0.818632841110229,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
SWE,10,14,69.45,23,89.04,67.49,81.52,73.81,57.03,61.17,34.06,72.61,97.09,33.33,62.5781910502956,2.0,71730.79,74.0813916200421,67.2257211390787,84.5324008968686,76.3400825878381,74.5753184751655,58.8511408492437,57.5265838141559,60.7132203971166,68.3355104267272,68.9566590747437,72.8447803542404,80.4427354311422,57.7754264147115,49.9328621676268,70.3728226979403,50.6268357090438,63.2385768290412,68.3065495092949,58.9104362183331,89.1552256053231,55.3980103966395,61.3242127768822,62.706144009795,55.3326212613227,63.6510143795217,10607.0,45.5835186287858,1.60138332843781,1.71801710128784,1.60402345657349,2.0282461643219,0.758365273475647,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,0,1,0,europe,0,0,1,0,0,0,0,0
THA,3,6,63.22,34,88.0,56.38,70.44,85.86,52.58,37.35,21.34,70.0,94.03,33.33,36.6722982832117,45.0,25211.77,35.3525707875337,45.7987141936544,54.9999442150258,44.8137688862987,23.6020858887244,33.2178591425712,32.5220241497118,32.3173218078606,41.4568233727007,24.7323794084671,42.3603057175975,38.9650272365363,34.853987222052,35.8073163692866,24.4013141721139,16.8311650307789,37.3662938859231,39.3037364037371,54.0183607295872,45.9684671110724,39.6036591734037,50.6096186513456,30.7094443446712,33.4728953327979,29.7806563936691,71668.01,35.6580050497821,0.171705812215805,0.158257782459259,0.244872748851776,-0.489050775766373,-0.280302882194519,0,1,1,1,0,1,2,1,none,0,0,0,0,0,1,0,0,asia,0,1,0,0,0,0,0,0
TUN,2,3,42.23,88,19.5,43.61,59.0,51.19,36.68,36.76,4.83,30.0,52.38,33.33,26.9867919028168,76.0,14338.49,16.8226630813444,27.0440599912684,40.0814968269114,31.9498403170472,24.9274649781754,23.330642905721,21.3572820064255,22.8098901216436,27.8976098911523,12.8793053777898,15.7249591065746,21.8637247596688,22.4146502798466,6.78993414209325,21.6931987224202,13.6513750442288,3.19862642156112,62.1196407835546,22.7508488248477,36.1732070582688,30.5877341274364,26.9000061280793,36.7714799380222,19.5948170659614,23.2051299634406,12277.11,40.9517863018344,-0.300515085458755,-0.6191326379776,-0.138983190059662,-0.341899782419205,-0.630951106548309,0,1,1,1,0,0,2,1,none,0,0,0,0,1,0,0,0,mena,0,0,0,0,1,0,0,0
TUR,3,5,58.91,53,77.0,52.76,68.18,77.59,45.7,47.27,13.29,80.0,98.06,50.0,37.2017171076035,43.0,40283.31,31.1190604319765,50.2296848790399,40.3923082864948,33.3000571136086,29.5420314972263,39.6612200358884,16.4642655248825,38.4085112836487,39.5995799932905,20.9197841583006,33.5017004764483,38.9356966611806,48.2611835479649,15.3692574800461,29.5857660819202,23.7421502031612,41.3692895185994,50.698679058859,36.6776281837153,33.0540676905661,74.0448553149466,43.378613042944,39.9704844988833,26.453795363765,28.5558390193324,87473.81,37.3811279243824,-0.247911587357521,-0.229510217905045,-0.511972904205322,-0.50248908996582,-1.01108038425446,0,1,1,1,0,1,2,1,none,0,0,0,0,1,0,0,0,mena,0,0,0,0,1,0,0,0
URY,3,5,58.47,55,61.5,56.52,84.5,83.22,31.19,52.35,7.19,60.0,88.58,50.0,28.837903949844,68.0,34440.2,25.6110249353253,46.5029524479715,74.7574447215817,67.4306941791209,12.3464417693092,20.5094913408107,28.6358937970316,20.4154913128278,37.8462869999492,20.8361045537598,26.3179708614162,29.6789993907999,20.3337069899384,18.6167244174763,34.3854571088296,39.2811571002654,24.3169962821564,42.5278078966296,16.2700039607575,63.2158793314798,14.1663232167239,23.4425292918752,26.2442341454533,64.3187584843012,20.4972756357171,3386.59,28.4480919759027,0.850249707698822,0.675111055374146,0.717662572860718,1.57394731044769,0.964887142181396,0,1,1,1,0,2,2,1,adequacy,1,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
USA,6,13,88.36,1,92.5,91.77,82.5,92.87,88.16,78.28,90.92,100.0,97.84,100.0,61.6892112586677,3.0,86601.28,70.5923065909842,52.3128312927159,78.3930048086383,74.8770833224467,56.866458336689,77.1454207320615,46.59164912887,57.5615310260956,67.1971428609901,77.1116711681279,52.8235717014095,81.8416769034151,54.9218859863177,49.0875647465949,65.9265657927107,13.7180425682895,49.9024254940762,59.5332848749045,78.7318663757807,81.2128051077682,52.3367067029826,81.526984333404,56.6765087653998,65.0254400509337,60.2011760658735,345426.57,33.2182055905537,1.21720099449158,1.39373278617859,1.3276778459549,1.12343263626099,0.029424749314785,0,0,0,1,1,2,2,2,none,0,0,0,0,0,0,0,0,north_america,0,0,0,0,0,1,0,0
VNM,4,6,59.98,45,53.5,57.41,88.05,73.21,47.03,43.28,10.66,40.0,84.2,33.33,37.0799641407315,44.0,16193.27,31.3823101134691,44.8928738764992,59.2830560570262,50.4868319471846,9.72999255454051,43.3197094838231,32.4768040597143,33.3444587779872,39.0182116314249,32.1790109065797,35.5558581705824,26.4120612632452,38.1800821899485,35.8214617608397,31.7125931216696,22.9576594056807,41.1470893876393,45.2719428901256,31.6636200348759,34.9173091642158,42.5931369386424,39.0057296509047,29.3233125690671,57.260130620312,28.508835366026,100987.68,23.500649924868,0.126466900110245,-0.382607728242874,-0.0854718759655952,-0.415814280509949,-0.0363807342946529,0,1,0,0,0,0,2,1,none,0,0,0,0,0,0,0,1,asia,0,1,0,0,0,0,0,0
ZAF,3,5,53.94,65,43.0,60.05,76.58,64.93,37.28,40.81,29.64,70.0,88.68,43.0,30.1382792250188,61.0,15723.25,28.5529484196885,37.0988322752688,43.6882200285788,36.532907443784,22.3639582430773,27.6423036745612,14.0811149953733,23.3113853640242,33.363045382847,30.9643910010484,32.8623698310039,21.8320844270133,25.2603117570445,7.17569557759013,24.0582643386067,8.92023324983291,29.9727139639604,48.6676909962197,27.8678275641272,40.6877475480318,34.9036435559906,37.8286865865272,26.8018521889666,25.2227547547414,21.362458971004,64007.19,17.7276186854197,-0.256946682929993,-0.223697945475578,0.0862350836396217,-0.284670442342758,-0.665642023086548,0,1,1,1,1,1,2,1,none,0,0,0,1,0,0,0,0,africa,1,0,0,0,0,0,0,0
