iso3,country_name_canonical,region,income_group,n_sources_present,included_in_dense_candidate,zscore_regulatory_treatment_mean,pct_coverage_regulatory_treatment,zscore_ecosystem_outcome_mean,pct_coverage_ecosystem_outcome,zscore_adoption_diffusion_mean,pct_coverage_adoption_diffusion,zscore_socioeconomic_control_mean,pct_coverage_socioeconomic_control,zscore_institutional_control_mean,pct_coverage_institutional_control,zscore_tech_infrastructure_control_mean,pct_coverage_tech_infrastructure_control,rank_regulatory_treatment,rank_ecosystem_outcome,rank_adoption_diffusion,rank_socioeconomic_control,rank_institutional_control,rank_tech_infrastructure_control
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6,True,0.056,16.13,-0.5883,51.61,0.1509,21.43,0.2684,60.71,0.8958,61.29,-0.2699,2.4,82,139,98,117,47,105
BEN,Benin,Sub-Saharan Africa ,Lower middle income,7,True,0.6059,12.9,-0.5894,95.16,0.009,57.14,-0.1959,82.14,-0.6655,83.87,-0.9241,77.84,65,140,109,160,167,157
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,5,True,,0.0,-0.5905,59.68,0.6701,28.57,0.3471,60.71,4.0304,38.71,0.2696,1.8,,141,56,108,19,73
CUB,Cuba,Latin America & Caribbean ,Upper middle income,6,True,,0.0,-0.6002,59.68,-1.1692,21.43,0.0703,53.57,1.5223,38.71,-0.9215,2.99,,142,173,139,34,155
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,7,True,-0.1516,12.9,-0.6061,95.16,0.3816,57.14,2.2422,82.14,-1.0201,87.1,-1.1172,82.63,98,143,73,65,188,168
UGA,Uganda,Sub-Saharan Africa ,Low income,7,True,-0.7891,12.9,-0.6198,92.74,0.2223,57.14,-0.1031,85.71,-1.1108,87.1,-0.837,84.43,120,144,85,149,193,146
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,7,True,-0.6643,16.13,-0.62,94.35,-1.0873,21.43,1.5176,75.0,-0.9977,83.87,-1.2481,86.83,113,145,168,74,187,174
DMA,Dominica,Latin America & Caribbean ,Upper middle income,5,True,,0.0,-0.6203,59.68,-1.0381,7.14,6.3174,46.43,3.9927,38.71,0.1828,1.8,,146,165,34,21,77
MMR,Myanmar,East Asia & Pacific,Lower middle income,7,True,-1.0,12.9,-0.6305,90.32,-0.6361,21.43,-0.1035,78.57,-0.7928,87.1,-1.0802,86.83,129,147,143,150,174,165
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,6,True,-0.294,12.9,-0.644,58.87,-1.1845,28.57,-0.2683,57.14,1.6093,38.71,-0.6702,1.8,103,148,174,168,31,130
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,7,True,-0.96,16.13,-0.6631,95.97,0.1919,57.14,0.1072,82.14,-0.728,83.87,-0.8034,83.23,126,149,90,135,169,143
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,7,True,-0.0227,12.9,-0.6733,95.97,0.1637,57.14,-0.3824,82.14,-1.0883,83.87,-0.904,82.63,86,150,94,176,191,152
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,7,True,-0.7708,12.9,-0.6842,93.55,0.234,57.14,0.3366,75.0,-0.3309,87.1,-0.8786,80.84,119,151,81,112,146,149
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,7,True,-0.8685,16.13,-0.6929,94.35,0.138,57.14,-0.4678,92.86,-0.4131,83.87,-0.7931,88.02,123,152,99,186,152,141
MDV,Maldives,South Asia,Upper middle income,5,True,,0.0,-0.6951,49.19,-0.45,35.71,0.3387,71.43,4.6183,38.71,0.2383,1.8,,153,132,111,16,75
TGO,Togo,Sub-Saharan Africa ,Low income,7,True,-1.0,12.9,-0.702,95.16,0.0889,57.14,-0.5745,89.29,-0.6235,83.87,-0.9935,77.25,129,154,103,188,165,162
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,5,True,,0.0,-0.7026,59.68,,0.0,-0.5216,67.86,4.2738,38.71,-2.2768,1.8,,155,,187,17,192
KIR,Kiribati,East Asia & Pacific,Lower middle income,5,True,,0.0,-0.7495,59.68,,0.0,-0.0344,60.71,6.3265,38.71,-0.5264,1.8,,156,,144,8,124
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,7,True,-1.0,12.9,-0.7561,91.94,0.1555,57.14,-0.4065,75.0,-0.693,83.87,-0.4999,80.24,129,157,97,181,168,120
TLS,Timor Leste,East Asia & Pacific,Lower middle income,5,True,,0.0,-0.772,59.68,0.1833,35.71,-0.6842,67.86,1.5621,38.71,-1.7772,1.8,,158,92,190,33,186
SWZ,Swaziland,Sub-Saharan Africa ,Lower middle income,5,True,,0.0,-0.8076,59.68,0.9258,35.71,0.2952,67.86,0.4198,61.29,-0.7421,2.4,,159,44,115,81,137
HND,Honduras,Latin America & Caribbean ,Lower middle income,7,True,-1.0,12.9,-0.8378,94.35,-0.2427,57.14,-0.3439,92.86,-0.8466,83.87,-0.7001,83.83,129,160,123,174,177,133
GMB,The Gambia,Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-0.8393,59.68,-0.3788,57.14,-0.1731,78.57,-0.8864,58.06,-1.2416,1.8,129,161,127,157,180,173
PLW,Palau,East Asia & Pacific,High income,4,False,,0.0,-0.8473,16.94,,0.0,1.1862,64.29,10.9068,38.71,-0.1356,1.2,,162,,80,3,97
MWI,Malawi,Sub-Saharan Africa ,Low income,7,True,-0.7109,12.9,-0.8571,88.71,0.4974,57.14,0.2036,85.71,-0.5381,87.1,-0.9577,76.05,114,163,65,123,163,158
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7,True,,0.0,-0.8685,75.0,-0.8084,57.14,-0.4425,64.29,0.4041,38.71,-1.1563,35.93,,164,157,184,82,170
VEN,Venezuela,Latin America & Caribbean ,Not classified,7,True,,0.0,-0.8688,83.06,-0.6478,21.43,-0.3367,46.43,-1.53,38.71,-1.3238,36.53,,165,145,173,196,177
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,7,True,-0.5978,16.13,-0.8833,92.74,0.1919,57.14,-0.2366,89.29,-0.9914,83.87,-0.9232,83.83,110,166,90,164,186,156
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,7,True,,0.0,-0.9237,85.48,-0.109,57.14,0.4178,75.0,-0.8496,58.06,-0.9883,38.92,,167,115,104,178,161
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,7,True,,0.0,-0.9391,84.68,-0.4489,21.43,0.0145,67.86,-0.5194,58.06,-0.9697,42.51,,168,131,141,160,160
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,7,True,-1.0,12.9,-0.9605,80.65,0.6746,57.14,-0.2096,78.57,0.2479,61.29,-1.1156,36.53,129,169,55,162,100,167
MDG,Madagascar,Sub-Saharan Africa ,Low income,7,True,,0.0,-0.9683,91.13,0.2738,57.14,-0.2742,89.29,-0.8153,87.1,-1.1818,84.43,,170,78,169,176,171
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,5,True,,0.0,-0.9704,58.87,,0.0,-0.8979,53.57,0.9295,58.06,-1.2361,2.4,,171,,194,46,172
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,5,True,,0.0,-1.0096,58.87,,0.0,-0.086,57.14,0.8696,58.06,-1.3903,1.8,,172,,148,52,179
FSM,Micronesia (Federated States of),East Asia & Pacific,Lower middle income,4,False,,0.0,-1.0297,16.94,,0.0,-0.2628,39.29,6.4042,38.71,-1.9836,1.2,,173,,166,7,187
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,7,True,-1.0,12.9,-1.0323,92.74,-0.2129,57.14,0.5172,67.86,-1.0633,83.87,-1.3817,76.65,129,174,122,99,189,178
MLI,Mali,Sub-Saharan Africa ,Low income,7,True,-0.92,16.13,-1.0465,92.74,-0.6734,21.43,-0.1288,82.14,-1.2563,83.87,-0.9617,85.03,124,175,147,153,195,159
COM,Comoros (the),Sub-Saharan Africa ,Lower middle income,5,True,,0.0,-1.0766,59.68,1.3526,28.57,-0.839,67.86,1.4791,58.06,-2.0751,1.8,,176,34,192,35,189
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-1.0871,59.68,-0.4053,57.14,0.1356,67.86,-0.4285,58.06,-1.7314,1.8,129,177,129,132,154,185
SDN,Sudan (the),Sub-Saharan Africa ,Low income,6,True,,0.0,-1.1082,59.68,-0.8188,35.71,3.8282,60.71,-0.773,58.06,-0.6753,2.4,,178,159,51,172,131
MOZ,Mozambique,Sub-Saharan Africa ,Low income,7,True,-1.0,12.9,-1.1222,94.35,-0.5804,57.14,0.0801,85.71,-1.0935,87.1,-0.8055,86.23,129,179,141,138,192,144
AGO,Angola,Sub-Saharan Africa ,Lower middle income,7,True,,0.0,-1.1378,92.74,-0.4629,57.14,0.5183,85.71,-0.8871,87.1,-1.5556,80.24,,180,133,98,181,182
NER,Niger (the),Sub-Saharan Africa ,Low income,7,True,-0.0446,12.9,-1.1672,94.35,-0.6437,57.14,-0.069,82.14,-0.7781,83.87,-1.251,80.84,87,181,144,146,173,175
COG,Republic of the Congo,Sub-Saharan Africa ,Lower middle income,7,True,,0.0,-1.1736,83.87,-0.1674,57.14,-0.0787,78.57,-0.8118,58.06,-1.3929,35.93,,182,119,147,175,180
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,6,True,-0.5871,12.9,-1.1843,58.87,-1.0873,21.43,0.1404,50.0,-0.0483,58.06,-2.1083,1.8,109,183,168,131,125,191
SYR,Syria,"Middle East, North Africa, Afghanistan & Pakistan",Low income,6,True,,0.0,-1.2156,51.61,-1.0522,21.43,0.081,46.43,0.3785,38.71,-1.0602,2.99,,184,167,137,86,163
GNB,Guinea Bissau,Sub-Saharan Africa ,Low income,5,True,,0.0,-1.2227,59.68,-0.6734,21.43,-0.2565,57.14,0.6244,58.06,-2.0819,1.8,,185,147,165,68,190
BDI,Burundi,Sub-Saharan Africa ,Low income,7,True,-1.0,12.9,-1.2306,86.29,-0.0807,57.14,-0.197,67.86,0.2628,61.29,-1.1505,41.32,129,186,112,161,99,169
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-1.2586,59.68,-0.7943,21.43,0.9883,64.29,-0.9849,61.29,-1.6721,2.99,129,187,155,82,185,184
LBR,Liberia,Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-1.2874,59.68,-0.3463,57.14,-0.3977,50.0,-0.9304,58.06,-1.5716,1.8,129,188,126,180,183,183
TCD,Chad,Sub-Saharan Africa ,Low income,6,True,-0.96,16.13,-1.319,59.68,-0.5292,57.14,-0.17,60.71,-0.5244,58.06,-2.3507,2.4,126,189,138,156,161,194
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,6,True,,0.0,-1.3537,85.48,,0.0,-0.6364,46.43,-1.5486,64.52,-1.5115,76.65,,190,,189,197,181
PRK,North Korea,East Asia & Pacific,Low income,4,False,,0.0,-1.3822,42.74,,0.0,-0.2671,21.43,1.0325,38.71,33.0605,1.2,,191,,167,42,2
ERI,Eritrea,Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-1.3925,58.87,-1.0873,21.43,-0.9507,21.43,0.0475,58.06,-2.5517,1.8,129,192,168,196,117,197
HTI,Haiti,Latin America & Caribbean ,Lower middle income,6,True,-1.0,12.9,-1.4196,58.06,-1.4554,57.14,-0.2325,60.71,-0.8971,38.71,-1.2835,2.4,129,193,180,163,182,176
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-1.4422,59.68,-0.7943,21.43,-0.9457,60.71,-0.1866,58.06,-2.6881,1.8,129,194,155,195,136,198
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,6,True,-1.0,12.9,-1.4628,49.19,-1.2338,21.43,-0.7349,64.29,-0.7666,38.71,-2.3035,1.8,129,195,177,191,171,193
SSD,South Sudan,Sub-Saharan Africa ,Low income,6,True,-1.0,12.9,-1.5536,58.87,-1.0873,21.43,6.9877,28.57,1.0474,61.29,-2.4662,2.4,129,196,168,26,41,195
PRI,Puerto Rico,Latin America & Caribbean ,High income,3,False,,0.0,,0.0,-0.7266,35.71,0.3436,50.0,4.8339,38.71,0.8642,1.2,,,151,109,14,51
VAT,Vatican,,,2,False,,0.0,,0.0,31.1118,14.29,,0.0,,0.0,-2.9725,0.6,,,2,,,199
XKX,Kosovo,Europe & Central Asia,Upper middle income,3,False,-0.517,12.9,,0.0,-0.7934,35.71,0.0847,46.43,0.1629,38.71,0.6017,0.6,107,,154,136,105,59
